college_name,state,city,field,ranking,score
Indian Agricultural Research Institute,Delhi,New Delhi,agriculture_and_allied_sectors,1,87.98
ICAR - National Dairy Research Institute,Haryana,Karnal,agriculture_and_allied_sectors,2,71.18
Punjab Agricultural University,Punjab,Ludhiana,agriculture_and_allied_sectors,3,69.63
Banaras Hindu University,Uttar Pradesh,Varanasi,agriculture_and_allied_sectors,4,68.32
"Indian Veterinary Research Institute, Izatnagar",Uttar Pradesh,Bareilly,agriculture_and_allied_sectors,5,67.76
Tamil Nadu Agricultural University,Tamil Nadu,Coimbatore,agriculture_and_allied_sectors,6,64.92
Chaudhary Charan Singh Haryana Agricultural University,Haryana,Hisar,agriculture_and_allied_sectors,7,63.75
G.B. Pant Universtiy of Agriculture and Technology,Uttarakhand,Pantnagar,agriculture_and_allied_sectors,8,61.77
"Central Institute of Fisheries Education, Fishries University",Maharashtra,Mumbai,agriculture_and_allied_sectors,9,61.37
Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,Jammu and Kashmir,Srinagar,agriculture_and_allied_sectors,10,61.04
University of Agricultural Sciences,Karnataka,Bengaluru,agriculture_and_allied_sectors,11,59.13
"National Institute of Food Technology, Entrepreneurship and Management",Tamil Nadu,Thanjavur,agriculture_and_allied_sectors,12,56.8
Bidhan Chandra Krishi Vishwavidyalaya,West Bengal,Nadia,agriculture_and_allied_sectors,13,56.67
Assam Agricultural University,Assam,Jorhat,agriculture_and_allied_sectors,14,55.67
Odisha University of Agriculture and Technology,Odisha,Khordha,agriculture_and_allied_sectors,15,55.65
Kerala Agricultural University,Kerala,Thrissur,agriculture_and_allied_sectors,16,55.3
Tamil Nadu Veterinary and Animal Sciences University,Tamil Nadu,Chennai,agriculture_and_allied_sectors,17,55.19
Dr. Y.S. Parmar University of Horticulture and Forestry,Himachal Pradesh,Solan,agriculture_and_allied_sectors,18,54.67
Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya,Himachal Pradesh,Kangra,agriculture_and_allied_sectors,19,54.55
Sher-e-Kashmir University of Agricultural Science and Technology of Jammu,Jammu and Kashmir,Jammu,agriculture_and_allied_sectors,20,53.91
"National Institute of Food Technology, Enterprenurship and Management",Haryana,Sonipat,agriculture_and_allied_sectors,21,52.37
Lovely Professional University,Punjab,Phagwara,agriculture_and_allied_sectors,22,51.01
Anand Agricultural University,Gujarat,Anand,agriculture_and_allied_sectors,23,50.69
University of Agricultural Sciences,Karnataka,Dharwad,agriculture_and_allied_sectors,24,50.52
Guru Angad Dev Veterinary and Animal Sciences University,Punjab,Ludhiana,agriculture_and_allied_sectors,24,50.52
Acharya N G Ranga Agricultural University,Andhra Pradesh,Guntur,agriculture_and_allied_sectors,26,50.24
Annamalai University,Tamil Nadu,Annamalainagar,agriculture_and_allied_sectors,27,49.92
West Bengal University of Animal and Fishery Sciences,West Bengal,Kolkata,agriculture_and_allied_sectors,28,48.3
Dr Rajendra Prasad Central Agricultural University,Bihar,Samastipur,agriculture_and_allied_sectors,29,47.94
Kerala University of Fisheries and Ocean Studies,Kerala,Kochi,agriculture_and_allied_sectors,30,47.84
Central Agricultural University,Manipur,Imphal West,agriculture_and_allied_sectors,31,47.53
