Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-C-C-6377,Hindu College,63.91,59.88,90.57,77.68,95.21,Delhi,Delhi,74.47,1
IR-C-C-6355,Miranda House,63.31,64.01,87.63,77.22,86.65,Delhi,Delhi,73.22,2
IR-C-C-22470,St. Stephens's College,71.94,36.27,88.46,73.84,92.47,Delhi,Delhi,72.97,3
IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,72.30,65.33,100.00,53.69,38.75,Kolkata,West Bengal,72.97,3
IR-C-C-22462,Atma Ram Sanatan Dharm College,64.86,94.84,78.35,73.45,54.87,New Delhi,Delhi,72.59,5
IR-C-C-11881,St. Xavier`s College,66.78,67.75,88.22,57.23,74.99,Kolkata,West Bengal,72.15,6
IR-C-C-41046,PSGR Krishnammal College for Women,73.19,55.22,81.67,66.27,74.81,Coimbatore,Tamil Nadu,72.09,7
IR-C-C-44006,Loyola College,62.47,100.00,64.52,46.51,99.70,Chennai,Tamil Nadu,70.74,8
IR-C-C-6385,Kirori Mal College,62.96,76.99,81.58,73.33,53.99,Delhi,Delhi,69.86,9
IR-C-C-6415,Lady Shri Ram College for Women,60.27,29.01,93.87,75.59,100.00,New Delhi,Delhi,69.49,10
IR-C-C-41124,PSG College of Arts and Science,67.40,67.37,71.92,53.35,86.79,Coimbatore,Tamil Nadu,69.06,11
IR-C-C-6425,Hans Raj College,56.38,80.11,75.67,78.59,74.09,Delhi,Delhi,68.76,12
IR-C-C-43921,Presidency College,69.75,70.00,68.28,52.76,76.06,Chennai,Tamil Nadu,68.36,13
IR-C-C-43965,Madras Christian College,67.70,70.49,66.10,57.37,74.99,Chennai,Tamil Nadu,67.41,14
IR-C-C-36513,Thiagarajar College,68.38,79.31,75.35,53.46,33.76,Madurai,Tamil Nadu,66.82,15
IR-C-C-6409,Deshbandhu College,59.84,77.62,85.37,67.74,23.41,New Delhi,Delhi,66.03,16
IR-C-C-11926,Ramakrishna Mission Vidyamandira,70.80,59.09,87.42,29.50,35.18,Howrah,West Bengal,65.51,17
