Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,82.14,86.91,75.92,71.41,87.96,Chennai,Tamil Nadu,81.83,1
IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",78.68,61.39,84.20,75.84,95.88,Manipal,Karnataka,76.03,2
IR-N-C-28507,Maulana Azad Institute of Dental Sciences,77.45,54.92,90.92,64.95,100.00,Delhi,Delhi,74.39,3
IR-N-U-0523,King George`s Medical University,93.71,54.47,81.59,60.73,55.22,Lucknow,Uttar Pradesh,72.36,4
IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,75.77,57.78,84.21,59.85,93.66,Pune,Maharashtra,72.25,5
IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,77.16,39.70,90.45,74.03,95.88,Mangaluru,Karnataka,70.14,6
IR-N-N-352,SRM Dental College,78.65,44.05,90.92,65.86,75.90,Chennai,Tamil Nadu,69.18,7
IR-N-U-0108,Jamia Millia Islamia,75.23,44.99,63.13,79.71,77.05,New Delhi,Delhi,64.38,8
IR-N-U-0363,Siksha `O` Anusandhan,76.89,28.52,78.02,69.03,91.31,Bhubaneswar,Odisha,63.26,9
IR-N-I-1486,Sri Ramachandra Institute of Higher Education and Research,76.83,31.55,84.32,60.71,69.63,Chennai,Tamil Nadu,62.40,10
IR-N-C-7240,"Manipal College of Dental Sciences, Mangalore",73.30,32.32,80.35,68.42,74.72,Mangaluru,Karnataka,62.07,11
IR-N-C-35008,JSS Dental College and Hospital,67.65,33.03,79.45,66.65,78.17,Mysuru,Karnataka,60.57,12
IR-N-U-0465,Meenakshi Academy of Higher Education and Research,73.35,38.47,75.95,70.44,33.01,Chennai,Tamil Nadu,59.07,13
IR-N-U-0436,Amrita Vishwa Vidyapeetham,67.35,26.82,84.01,73.83,65.36,Coimbatore,Tamil Nadu,58.98,14
IR-N-C-14033,"Govt. Dental College, Nagpur",73.78,30.91,85.25,58.67,41.79,Nagpur,Maharashtra,58.50,15
IR-N-U-0724,M.S. Ramaiah University of Applied Sciences,72.35,23.81,83.33,59.31,65.36,Bengaluru,Karnataka,57.98,16
IR-N-U-0500,Banaras Hindu University,67.96,34.50,72.37,47.67,57.09,Varanasi,Uttar Pradesh,55.69,17
IR-N-U-0496,Aligarh Muslim University,74.72,19.95,80.30,57.60,51.21,Aligarh,Uttar Pradesh,55.33,18
IR-N-C-40178,"Government Dental College, Bangalore",70.23,13.63,77.69,57.17,85.26,Bengaluru,Karnataka,54.95,19
IR-N-U-0461,Dr. M. G. R. Educational and Research Institute,70.84,19.22,79.02,70.17,46.76,Chennai,Tamil Nadu,54.52,20
IR-N-C-48122,Government Dental College,75.25,5.96,86.63,56.84,65.36,Thiruvananthapuram,Kerala,53.91,21
IR-N-U-0356,Kalinga Institute of Industrial Technology,74.57,21.48,73.18,68.34,36.15,Bhubaneswar,Odisha,53.89,22
IR-N-C-30756,Postgraduate Institute of Dental Sciences,72.85,33.84,74.85,55.58,12.36,Rohtak,Haryana,53.78,23
IR-N-U-0295,Datta Meghe Institute of Higher Education and Research,72.78,29.32,74.40,63.91,17.38,Wardha,Maharashtra,53.64,24
IR-N-C-13829,"Govt. Dental College, Mumbai",71.17,16.93,75.45,57.97,62.24,Mumbai,Maharashtra,53.54,25
IR-N-C-8528,Yenepoya Dental College,75.72,13.49,72.58,71.32,49.04,Mangaluru,Karnataka,53.32,26
IR-N-U-0078,Panjab University,64.69,19.30,75.71,69.39,57.09,Chandigarh,Chandigarh,52.99,27
IR-N-N-153,Nair Hospital Dental College,79.53,16.72,79.98,58.49,21.88,Mumbai,Maharashtra,52.92,28
IR-N-C-24504,KLE Vishwanath Katti Institute of Dental Sciences,69.39,16.18,72.19,70.17,57.09,Belgaum,Karnataka,52.84,29
IR-N-C-29150,Christian Dental College,70.48,7.27,87.71,61.45,57.09,Ludhiana,Punjab,52.72,30
IR-N-N-238,SDM College of Dental Sciences & Hospital,72.02,13.48,73.83,60.31,62.24,Dharwad,Karnataka,52.67,31
IR-N-N-353,SRM Kattankulathur Dental College,70.62,16.43,70.11,59.30,60.60,Chennai,Tamil Nadu,52.13,32
IR-N-C-45605,Chettinad Dental College and Research Institute,74.70,14.01,69.33,63.27,49.04,Kelambakkam,Tamil Nadu,51.71,33
IR-N-C-5910,Government Dental College,66.08,14.97,85.62,57.27,44.35,Ahmedabad,Gujarat,51.60,34
IR-N-C-6548,Mahatma Gandhi P.G. Institute of Dental Sciences,80.65,5.67,83.51,54.88,33.01,Pondicherry,Pondicherry,51.39,35
IR-N-C-35422,"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",75.26,5.39,78.40,60.56,51.21,Pune,Maharashtra,51.06,36
IR-N-C-40193,Bapuji Dental College & Hospital,68.85,21.41,63.82,54.98,55.22,Davangere,Karnataka,50.86,37
IR-N-U-0169,Manav Rachna International Institute of Research and Studies,64.84,9.32,70.27,72.03,63.83,Faridabad,Haryana,49.88,38
IR-N-C-45597,"Adhiparasakthi Dental College and Hospital, Kancheepuram",68.51,9.78,76.90,61.29,44.35,Melmaruvathur,Tamil Nadu,49.44,39
IR-N-N-73,Army College of Dental Sciences,69.25,7.02,73.75,68.46,49.04,Secunderabad,Telangana,49.38,40
