Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-O-U-0439,Anna University,71.25,89.07,75.55,49.40,100.00,Chennai,Tamil Nadu,78.14,1
IR-O-U-0575,Jadavpur University,73.70,76.39,94.88,50.74,86.62,Kolkata,West Bengal,77.74,2
IR-O-U-0323,Savitribai Phule Pune University,73.46,58.24,94.60,54.66,63.62,Pune,Maharashtra,70.26,3
IR-O-U-0570,Calcutta University,69.07,59.41,97.26,50.50,59.21,Kolkata,West Bengal,68.96,4
IR-O-U-0078,Panjab University,61.27,63.18,79.18,73.50,69.13,Chandigarh,Chandigarh,67.43,5
IR-O-U-0027,Osmania University,74.48,53.97,90.01,59.23,47.40,Hyderabad,Telangana,67.20,6
IR-O-U-0006,Andhra University,75.14,46.38,89.86,69.03,46.38,Visakhapatnam,Andhra Pradesh,65.96,7
IR-O-U-0447,Bharathiar University,63.05,62.32,82.22,55.27,56.80,Coimbatore,Tamil Nadu,65.27,8
IR-O-U-0260,Kerala University,73.02,43.68,100.00,63.53,37.96,Thiruvananthapuram,Kerala,65.15,9
IR-O-U-0253,Cochin University of Science and Technology,69.81,54.56,77.25,57.98,46.48,Cochin,Kerala,63.21,10
IR-O-U-0262,Mahatma Gandhi University,70.82,60.22,74.29,51.26,37.25,Kottayam,Kerala,63.04,11
IR-O-I-1357,University of Madras,69.19,56.81,69.33,55.36,56.80,Chennai,Tamil Nadu,62.89,12
IR-O-U-0052,Gauhati University,73.18,39.84,93.15,64.58,30.47,Guwahati,Assam,62.04,13
IR-O-U-0196,University of Kashmir,76.23,46.13,83.94,51.14,30.53,Srinagar,Jammu and Kashmir,61.66,14
IR-O-U-0098,Delhi Technological University,61.77,55.48,69.84,65.40,56.65,New Delhi,Delhi,61.35,15
IR-O-U-0448,Bharathidasan University,63.73,53.54,84.29,54.06,38.77,Tiruchirappalli,Tamil Nadu,61.33,16
IR-O-U-0435,Alagappa University,64.24,52.96,77.25,52.30,43.06,Karaikudi,Tamil Nadu,60.15,17
IR-O-U-0318,Mumbai University,69.95,30.10,91.04,55.92,49.35,Mumbai,Maharashtra,58.75,18
IR-O-U-0235,Mysore University,78.29,29.69,83.71,61.60,29.87,Mysuru,Karnataka,58.29,19
IR-O-U-0003,Acharya Nagarjuna University,69.87,33.44,87.48,69.75,28.25,Guntur,Andhra Pradesh,58.28,20
IR-O-U-0099,Guru Gobind Singh Indraprastha University,63.88,42.71,70.32,58.93,54.13,New Delhi,Delhi,57.33,21
IR-O-U-0249,Visvesvaraya Technological University,65.23,58.97,63.85,50.88,20.65,Belgaum,Karnataka,57.18,22
IR-O-U-0195,University of Jammu,70.60,33.90,78.57,53.05,34.25,Jammu,Jammu and Kashmir,55.79,23
IR-O-U-0215,Bangalore University,66.97,27.70,80.32,60.99,50.28,Bengaluru,Karnataka,55.59,24
IR-O-U-0470,Periyar University,60.79,43.59,72.88,60.20,34.25,Salem,Tamil Nadu,55.34,25
IR-O-U-0463,Madurai Kamaraj University,67.12,34.01,75.87,52.19,39.32,Madurai,Tamil Nadu,54.66,26
IR-O-U-0523,King George`s Medical University,64.40,41.41,63.85,59.41,39.31,Lucknow,Uttar Pradesh,54.38,27
IR-O-U-0051,Dibrugarh University,72.86,30.03,79.45,51.88,20.65,Dibrugarh,Assam,54.01,28
