Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-O-U-0220,"Indian Institute of Science, Bengaluru",83.60,86.50,82.17,58.46,99.79,Bengaluru,Karnataka,83.29,1
IR-O-U-0109,Jawaharlal Nehru University,74.93,45.27,97.34,72.28,70.39,New Delhi,Delhi,69.80,2
IR-O-U-0108,Jamia Millia Islamia,71.29,49.28,92.72,83.10,50.85,New Delhi,Delhi,68.11,3
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",78.11,55.94,77.34,67.33,47.74,Manipal,Karnataka,67.18,4
IR-O-U-0500,Banaras Hindu University,73.59,51.01,94.94,61.57,35.18,Varanasi,Uttar Pradesh,66.05,5
IR-O-U-0120,University of Delhi,56.75,56.42,98.54,67.57,54.75,Delhi,Delhi,65.90,6
IR-O-U-0436,Amrita Vishwa Vidyapeetham,76.51,47.82,77.63,73.83,55.25,Coimbatore,Tamil Nadu,65.73,7
IR-O-U-0496,Aligarh Muslim University,74.02,45.91,93.81,61.15,47.21,Aligarh,Uttar Pradesh,65.57,8
IR-O-U-0575,Jadavpur University,68.83,51.35,89.92,49.94,63.74,Kolkata,West Bengal,65.39,9
IR-O-U-0490,Vellore Institute of Technology,61.51,61.95,79.42,61.11,57.55,Vellore,Tamil Nadu,64.79,10
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,72.59,60.87,72.82,66.07,34.05,Chennai,Tamil Nadu,64.62,11
IR-O-U-0473,S.R.M. Institute of Science and Technology,71.69,55.43,76.92,68.55,41.91,Chennai,Tamil Nadu,64.56,12
IR-O-U-0439,Anna University,60.32,63.51,71.58,48.93,74.89,Chennai,Tamil Nadu,63.85,13
IR-O-U-0363,Siksha `O` Anusandhan,74.09,42.19,74.06,72.74,56.35,Bhubaneswar,Odisha,62.61,14
IR-O-U-0356,Kalinga Institute of Industrial Technology,74.74,42.01,79.53,76.35,39.60,Bhubaneswar,Odisha,62.53,15
IR-O-U-0304,Homi Bhabha National Institute,76.29,52.45,76.95,53.84,29.19,Mumbai,Maharashtra,62.31,16
IR-O-U-0042,University of Hyderabad,72.69,45.58,81.39,62.26,41.92,Hyderabad,Telangana,62.18,17
IR-O-U-0570,Calcutta University,70.01,42.11,92.19,50.17,40.13,Kolkata,West Bengal,61.10,18
IR-O-U-0391,"Birla Institute of Technology and Science, Pilani",66.06,57.83,75.19,58.49,19.68,Pilani,Rajasthan,60.03,19
IR-O-U-0747,Chandigarh University,68.50,39.66,78.18,77.52,41.19,Mohali,Punjab,59.96,20
IR-O-U-0260,Kerala University,74.52,26.72,94.82,58.19,33.16,Thiruvananthapuram,Kerala,58.48,21
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),67.87,41.54,71.78,66.48,41.47,Vaddeswaram,Andhra Pradesh,57.98,22
IR-O-U-0323,Savitribai Phule Pune University,61.07,39.17,89.65,52.59,47.00,Pune,Maharashtra,57.96,23
IR-O-U-0222,JSS Academy of Higher Education and Research,76.68,32.12,69.66,76.95,34.55,Mysuru,Karnataka,57.74,24
IR-O-U-0006,Andhra University,75.44,26.05,85.19,64.68,37.09,Visakhapatnam,Andhra Pradesh,57.67,25
IR-O-U-0447,Bharathiar University,64.04,42.45,78.16,54.05,42.79,Coimbatore,Tamil Nadu,57.26,26
IR-O-U-0379,Lovely Professional University,57.10,49.75,66.63,69.81,45.47,Phagwara,Punjab,56.92,27
IR-O-U-0476,Shanmugha Arts Science Technology and Research Academy,69.41,37.64,71.47,66.23,37.87,Thanjavur,Tamil Nadu,56.81,28
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),65.00,43.36,71.19,63.83,35.91,Patiala,Punjab,56.72,29
IR-O-U-0458,Kalasalingam Academy of Research and Education,69.75,32.36,74.56,74.30,37.35,Srivilliputhur,Tamil Nadu,56.71,30
IR-O-U-0329,Symbiosis International,72.53,27.49,78.53,64.79,42.14,Pune,Maharashtra,56.41,31
IR-O-U-0497,Amity University,56.77,50.31,71.92,65.59,30.83,Gautam Budh Nagar,Uttar Pradesh,56.14,32
IR-O-U-0498,Babasaheb Bhimrao Ambedkar University,69.31,25.46,80.94,78.63,35.47,Lucknow,Uttar Pradesh,56.03,33
IR-O-U-0253,Cochin University of Science and Technology,71.68,35.53,73.76,56.10,34.31,Cochin,Kerala,55.95,34
IR-O-U-0308,Institute of Chemical Technology,55.91,45.68,75.08,55.39,46.44,Mumbai,Maharashtra,55.67,35
IR-O-U-0448,Bharathidasan University,65.13,39.14,79.78,53.33,30.29,Tiruchirappalli,Tamil Nadu,55.60,36
