Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-P-U-0107,Jamia Hamdard,80.01,85.34,86.50,71.11,100.00,New Delhi,Delhi,84.01,1
IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,92.05,63.33,94.60,71.76,75.85,Hyderabad,Telangana,80.29,2
IR-P-U-0391,"Birla Institute of Technology and Science, Pilani",89.45,72.95,85.63,70.39,60.62,Pilani,Rajasthan,78.95,3
IR-P-C-35006,JSS College of Pharmacy,85.88,51.70,93.10,84.64,87.82,Ooty,Tamil Nadu,77.13,4
IR-P-U-0308,Institute of Chemical Technology,80.23,69.45,89.34,56.18,62.95,Mumbai,Maharashtra,74.69,5
IR-P-C-35007,JSS College of Pharmacy,82.13,53.25,90.03,70.20,72.38,Mysore,Karnataka,72.89,6
IR-P-U-0078,Panjab University,69.48,73.49,72.67,74.39,79.05,Chandigarh,Chandigarh,72.76,7
IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",76.79,63.33,79.57,69.10,74.15,Udupi,Karnataka,72.27,8
IR-P-U-0380,National Institute of Pharmaceutical Education and Research Mohali,74.48,54.60,84.40,64.39,88.23,Mohali,Punjab,70.86,9
IR-P-N-10,SVKM`s Narsee Monjee Institute of Management Studies,83.62,67.35,80.18,63.02,23.04,Mumbai,Maharashtra,69.94,10
IR-P-U-0473,S.R.M. Institute of Science and Technology,78.30,63.71,79.73,58.06,45.36,Chennai,Tamil Nadu,68.90,11
IR-P-I-1073,National Institute of Pharmaceutical Education and Research Guwahati,87.08,52.91,82.29,60.63,42.99,Guwahati,Assam,68.82,12
IR-P-U-0436,Amrita Vishwa Vidyapeetham,75.85,54.86,74.93,77.35,61.41,Coimbatore,Tamil Nadu,68.07,13
IR-P-N-26,National Institute of Pharmaceutical Education and Research Raebareli,83.52,47.16,72.31,67.82,50.75,Lucknow,Uttar Pradesh,65.53,14
IR-P-N-14,National Institute of Pharmaceutical Education and Research Ahmedabad,78.54,43.02,80.79,66.21,56.42,Gandhinagar,Gujarat,64.89,15
IR-P-U-0853,Delhi Pharmaceutical Sciences and Research University,75.27,40.03,72.93,60.08,95.41,Delhi,Delhi,64.73,16
IR-P-U-0379,Lovely Professional University,72.97,77.50,41.87,64.56,47.60,Phagwara,Punjab,64.73,16
IR-P-U-0575,Jadavpur University,73.62,52.37,80.46,46.07,56.42,Kolkata,West Bengal,64.14,18
IR-P-U-0373,Chitkara University,70.15,68.73,59.88,69.18,34.94,Rajpura,Punjab,64.05,19
