Institute ID,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank
IR-R-U-0220,"Indian Institute of Science, Bengaluru",98.56,82.86,73.53,58.36,100.00,Bengaluru,Karnataka,84.98,1
IR-R-U-0456,Indian Institute of Technology Madras,91.96,82.57,77.27,65.56,89.22,Chennai,Tamil Nadu,83.29,2
IR-R-I-1074,Indian Institute of Technology Delhi,85.25,84.78,75.98,66.11,82.56,New Delhi,Delhi,81.08,3
IR-R-U-0306,Indian Institute of Technology Bombay,83.75,78.59,80.10,59.00,71.28,Mumbai,Maharashtra,77.75,4
IR-R-U-0573,Indian Institute of Technology Kharagpur,71.77,78.69,77.43,57.12,63.05,Kharagpur,West Bengal,72.65,5
IR-R-U-0304,Homi Bhabha National Institute,85.81,75.60,68.75,53.67,25.75,Mumbai,Maharashtra,70.11,6
IR-R-I-1075,Indian Institute of Technology Kanpur,76.21,62.81,80.16,60.64,62.54,Kanpur,Uttar Pradesh,70.04,7
IR-R-N-15,All India Institute of Medical Sciences Delhi,81.63,67.68,39.27,71.48,76.43,New Delhi,Delhi,67.43,8
IR-R-U-0560,Indian Institute of Technology Roorkee,72.76,67.91,69.00,62.94,44.85,Roorkee,Uttarakhand,66.78,9
IR-R-U-0053,Indian Institute of Technology Guwahati,74.67,61.56,68.52,61.75,42.03,Guwahati,Assam,64.94,10
IR-R-U-0713,Academy of Scientific and Innovative Research,75.64,69.51,76.78,46.77,6.18,Ghaziabad,Uttar Pradesh,64.20,11
IR-R-U-0330,Tata Institute of Fundamental Research,72.00,56.50,56.29,58.44,48.85,Mumbai,Maharashtra,60.54,12
IR-R-U-0490,Vellore Institute of Technology,54.28,67.42,71.26,61.35,33.87,Vellore,Tamil Nadu,60.28,13
IR-R-U-0120,University of Delhi,57.35,56.25,80.31,67.53,31.75,Delhi,Delhi,60.07,14
IR-R-U-0013,Indian Institute of Technology Hyderabad,67.00,51.39,65.67,59.11,53.99,Hyderabad,Telangana,59.96,15
IR-R-U-0500,Banaras Hindu University,52.58,51.51,85.10,61.67,41.05,Varanasi,Uttar Pradesh,58.52,16
IR-R-U-0439,Anna University,60.10,57.47,58.95,49.03,64.28,Chennai,Tamil Nadu,58.39,17
IR-R-U-0109,Jawaharlal Nehru University,51.90,39.35,88.52,72.12,41.42,New Delhi,Delhi,56.43,18
IR-R-U-0108,Jamia Millia Islamia,55.09,45.13,77.22,83.72,22.38,New Delhi,Delhi,56.12,19
IR-R-I-1441,Saveetha Institute of Medical and Technical Sciences,62.08,57.03,64.04,66.05,7.03,Chennai,Tamil Nadu,55.85,20
IR-R-U-0575,Jadavpur University,55.22,44.66,80.98,49.94,36.87,Kolkata,West Bengal,54.85,21
IR-R-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,59.28,51.38,63.00,58.99,30.81,Dhanbad,Jharkhand,54.77,22
IR-R-U-0234,"Manipal Academy of Higher Education, Manipal",53.84,52.11,66.07,67.35,25.92,Manipal,Karnataka,54.31,23
