StudentID,Q1_Favorite_Subjects,Q2_Enjoyed_Activities,Q3_Strongest_Skills,Q4_Work_Style,Q5_Workplace_Preference,Q6_Exam_Readiness,Q7_Location_Preference,Q8_Career_Values,Q9_LongTerm_Goal,Q10_Academic_Background,Recommended_Course,Recommended_Career,Recommended_College_Type,Recommendation_Score
S00001,"Economics, Accountancy","Debating, Reading","Communication, Creativity",Both,Startup,Maybe,Abroad,Job Security,Doctor,Science-64%,B.Com,Accountant,Tier-2,0.79
S00002,"Computer Science, Maths","Experiments, Research","Design Thinking, Writing",Practical,Research Lab,Maybe,Abroad,Creativity & Freedom,Teacher,Science-98%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.95
S00003,"Maths, Computer Science","Public Speaking, Coding","Problem Solving, Presentation",Theoretical,Startup,No,India,Balanced,Teacher,Arts-79%,B.Tech CSE,Software Engineer,Tier-2,0.91
S00004,"Chemistry, Physics","Drawing, Sports","Leadership, Writing",Practical,Outdoors,Yes,Abroad,Creativity & Freedom,Civil Servant,Commerce-68%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.78
S00005,"Physics, Chemistry","Experiments, Solving Puzzles","Research, Teamwork",Theoretical,Outdoors,Maybe,Abroad,Job Security,Artist,Arts-91%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.94
S00006,"Computer Science, Maths","Reading, Sports","Research, Teamwork",Both,NGO,Yes,Abroad,Job Security,Artist,Commerce-79%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.9
S00007,"Computer Science, Biology","Research, Debating","Communication, Programming",Theoretical,Startup,Yes,India,Job Security,Manager,Science-93%,BHMS,Homeopathy Doctor,Tier-1,0.97
S00008,"Computer Science, Biology","Public Speaking, Research","Problem Solving, Problem Solving",Both,Startup,Maybe,Flexible,Creativity & Freedom,Manager,Science-68%,B.Tech CSE,Software Engineer,Tier-2,0.8
S00009,"Fine Arts, Political Science","Public Speaking, Drawing","Creativity, Financial Analysis",Theoretical,Outdoors,Yes,Abroad,Job Security,Designer,Vocational-73%,BA Economics,Economist/Analyst,Tier-2,0.85
S00010,"Physics, Maths","Organizing Events, Debating","Problem Solving, Leadership",Both,Startup,Yes,Flexible,Creativity & Freedom,Engineer,Vocational-74%,B.Tech CSE,Software Engineer,Tier-2,0.81
S00011,"Computer Science, Chemistry","Public Speaking, Research","Problem Solving, Design Thinking",Theoretical,Outdoors,Maybe,Flexible,Balanced,Artist,Commerce-70%,B.Tech CSE,Software Engineer,Tier-2,0.87
S00012,"Maths, Computer Science","Debating, Research","Leadership, Creativity",Theoretical,Corporate Office,Maybe,Flexible,Job Security,Data Scientist,Science-54%,Diploma in IT,IT Support/Technician,Tier-2,0.7
S00013,"Fine Arts, History","Public Speaking, Debating","Writing, Financial Analysis",Theoretical,Outdoors,Maybe,India,Balanced,Data Scientist,Commerce-60%,BFA,Artist/Designer,Tier-2,0.79
S00014,"Physics, Biology","Research, Reading","Teamwork, Research",Both,Corporate Office,Maybe,Flexible,Balanced,Engineer,Science-96%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.99
S00015,"Chemistry, Computer Science","Experiments, Solving Puzzles","Teamwork, Communication",Theoretical,NGO,Yes,India,Creativity & Freedom,Designer,Science-91%,B.Tech IT,IT Engineer,Tier-1,0.98
S00016,"Political Science, Psychology","Reading, Experiments","Research, Leadership",Theoretical,Corporate Office,Yes,Abroad,Job Security,Scientist,Science-79%,BA Political Science,Public Policy Analyst,Tier-2,0.87
S00017,"Psychology, Design","Solving Puzzles, Debating","Writing, Leadership",Practical,Corporate Office,Maybe,Abroad,Job Security,Doctor,Commerce-77%,BA Psychology,Counselor/HR,Tier-2,0.83
S00018,"History, Political Science","Drawing, Organizing Events","Creativity, Financial Analysis",Practical,Classroom,Yes,Flexible,Job Security,Data Scientist,Commerce-84%,BA Economics,Economist/Analyst,Tier-2,0.9
S00019,"Computer Science, Accountancy","Public Speaking, Reading","Financial Analysis, Presentation",Theoretical,Outdoors,No,Abroad,Job Security,Manager,Commerce-74%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.89
